out,in,high,low,coil,comp,cond,state
-77.98734705615803,-34.62289852814251,0.0,0.0,-91.99728519866903,0.0,0.0,1
-23.98734705615803,28.377101471857493,0.0,0.0,-5.997285198669029,0.0,0.0,1
-69.98734705615803,-113.62289852814251,0.0,0.0,26.00271480133097,0.0,0.0,1
-10.987347056158027,-73.62289852814251,0.0,0.0,4.002714801330971,0.0,0.0,1
-79.98734705615803,-8.622898528142509,0.0,0.0,-60.997285198669026,0.0,0.0,1
22.01265294384197,-70.62289852814251,0.0,0.0,-16.99728519866903,0.0,0.0,1
-56.98734705615803,-13.622898528142509,0.0,0.0,21.00271480133097,0.0,0.0,1
18.01265294384197,-21.622898528142507,0.0,0.0,1.0027148013309708,0.0,0.0,1
-100.98734705615803,-119.62289852814251,0.0,0.0,-83.99728519866903,0.0,0.0,1
-65.98734705615803,-116.62289852814251,0.0,0.0,17.00271480133097,0.0,0.0,1
-108.98734705615803,26.377101471857493,0.0,0.0,-21.99728519866903,0.0,0.0,1
37.01265294384197,1.3771014718574919,0.0,0.0,-62.997285198669026,0.0,0.0,1
-81.98734705615803,42.37710147185749,0.0,0.0,24.00271480133097,0.0,0.0,1
-67.98734705615803,-104.62289852814251,0.0,0.0,25.00271480133097,0.0,0.0,1
-32.98734705615803,-92.62289852814251,0.0,0.0,-69.99728519866903,0.0,0.0,1
-76.98734705615803,21.377101471857493,0.0,0.0,-92.99728519866903,0.0,0.0,1
31.01265294384197,-95.62289852814251,0.0,0.0,-10.99728519866903,0.0,0.0,1
-90.98734705615803,-120.62289852814251,0.0,0.0,-81.99728519866903,0.0,0.0,1
-107.98734705615803,-45.62289852814251,0.0,0.0,-116.99728519866903,0.0,0.0,1
13.012652943841973,-62.62289852814251,0.0,0.0,-82.99728519866903,0.0,0.0,1
-14.987347056158027,-6.622898528142509,0.0,0.0,23.00271480133097,0.0,0.0,1
-99.98734705615803,-29.622898528142507,0.0,0.0,-108.99728519866903,0.0,0.0,1
-8.987347056158027,-22.622898528142507,0.0,0.0,8.00271480133097,0.0,0.0,1
-54.98734705615803,-7.622898528142509,0.0,0.0,-26.99728519866903,0.0,0.0,1
29.01265294384197,36.37710147185749,0.0,0.0,32.002714801330974,0.0,0.0,1
-52.98734705615803,5.377101471857491,0.0,0.0,-111.99728519866903,0.0,0.0,1
-24.98734705615803,-88.62289852814251,0.0,0.0,-98.99728519866903,0.0,0.0,1
-13.987347056158027,-112.62289852814251,0.0,0.0,-54.997285198669026,0.0,0.0,1
-110.98734705615803,-114.62289852814251,0.0,0.0,-52.997285198669026,0.0,0.0,1
31.01265294384197,17.377101471857493,0.0,0.0,-63.997285198669026,0.0,0.0,1
-42.98734705615803,-75.62289852814251,0.0,0.0,-79.99728519866903,0.0,0.0,1
-25.98734705615803,47.37710147185749,0.0,0.0,17.00271480133097,0.0,0.0,1
-65.98734705615803,42.37710147185749,0.0,0.0,-38.997285198669026,0.0,0.0,1
35.01265294384197,-33.62289852814251,0.0,0.0,-30.99728519866903,0.0,0.0,1
-30.98734705615803,-89.62289852814251,0.0,0.0,-7.997285198669029,0.0,0.0,1
-91.98734705615803,-105.62289852814251,0.0,0.0,-7.997285198669029,0.0,0.0,1
9.012652943841973,7.377101471857491,0.0,0.0,-59.997285198669026,0.0,0.0,1
-86.98734705615803,-63.62289852814251,0.0,0.0,2.0027148013309706,0.0,0.0,1
45.01265294384197,-91.62289852814251,0.0,0.0,-23.99728519866903,0.0,0.0,1
-71.98734705615803,-78.62289852814251,0.0,0.0,-10.99728519866903,0.0,0.0,1
40.01265294384197,-3.622898528142508,0.0,0.0,-19.99728519866903,0.0,0.0,1
47.01265294384197,-55.62289852814251,0.0,0.0,-83.99728519866903,0.0,0.0,1
-2.987347056158028,-112.62289852814251,0.0,0.0,-1.9972851986690292,0.0,0.0,1
-24.98734705615803,-113.62289852814251,0.0,0.0,-26.99728519866903,0.0,0.0,1
2.012652943841972,-65.62289852814251,0.0,0.0,-33.997285198669026,0.0,0.0,1
-108.98734705615803,14.377101471857491,0.0,0.0,17.00271480133097,0.0,0.0,1
-64.98734705615803,-100.62289852814251,0.0,0.0,-8.99728519866903,0.0,0.0,1
-26.98734705615803,0.3771014718574919,0.0,0.0,-89.99728519866903,0.0,0.0,1
36.01265294384197,-88.62289852814251,0.0,0.0,-56.997285198669026,0.0,0.0,1
-38.98734705615803,-40.62289852814251,0.0,0.0,28.00271480133097,0.0,0.0,1
-66.98734705615803,-124.62289852814251,0.0,0.0,-25.99728519866903,0.0,0.0,1
-83.98734705615803,-98.62289852814251,0.0,0.0,-54.997285198669026,0.0,0.0,1
-118.98734705615803,-22.622898528142507,0.0,0.0,-32.997285198669026,0.0,0.0,1
9.012652943841973,-87.62289852814251,0.0,0.0,-105.99728519866903,0.0,0.0,1
16.01265294384197,-120.62289852814251,0.0,0.0,-23.99728519866903,0.0,0.0,1
-14.987347056158027,43.37710147185749,0.0,0.0,-37.997285198669026,0.0,0.0,1
-93.98734705615803,-79.62289852814251,0.0,0.0,35.002714801330974,0.0,0.0,1
24.01265294384197,-63.62289852814251,0.0,0.0,20.00271480133097,0.0,0.0,1
-38.98734705615803,-15.622898528142509,0.0,0.0,35.002714801330974,0.0,0.0,1
-120.98734705615803,-72.62289852814251,0.0,0.0,-69.99728519866903,0.0,0.0,1
44.01265294384197,-13.622898528142509,0.0,0.0,-54.997285198669026,0.0,0.0,1
-31.98734705615803,12.377101471857491,0.0,0.0,-49.997285198669026,0.0,0.0,1
-41.98734705615803,41.37710147185749,0.0,0.0,-28.99728519866903,0.0,0.0,1
19.01265294384197,-108.62289852814251,0.0,0.0,-86.99728519866903,0.0,0.0,1
-91.98734705615803,-10.622898528142509,0.0,0.0,-11.99728519866903,0.0,0.0,1
10.012652943841973,-103.62289852814251,0.0,0.0,-90.99728519866903,0.0,0.0,1
-4.987347056158028,-121.62289852814251,0.0,0.0,-27.99728519866903,0.0,0.0,1
-79.98734705615803,-92.62289852814251,0.0,0.0,8.00271480133097,0.0,0.0,1
